source,target,weight_1,weight_2
377,188,10,4
377,59,9,10
188,188,1,2
188,188,3,6
59,59,7,5
59,24,1,8
377,201,6,4
188,188,1,4
24,157,6,5
188,408,10,1
377,30,4,2
59,479,9,4
188,188,2,2
408,60,3,4
188,382,3,6
188,495,8,8
188,85,9,8
59,59,10,3
188,466,1,6
188,386,6,3
188,273,5,3
188,188,8,3
188,188,9,2
188,231,10,7
188,188,5,10
85,85,5,7
188,188,9,7
188,379,7,3
85,366,10,10
188,188,3,6
379,404,8,4
201,275,6,5
188,291,6,10
231,313,9,2
85,106,1,6
291,291,6,1
188,188,2,1
30,418,7,10
188,370,4,8
188,181,3,1
188,188,10,10
188,188,8,1
188,487,6,1
188,170,2,2
188,493,7,1
366,232,8,9
479,479,7,8
466,108,2,4
188,280,4,7
85,85,4,5
291,459,3,1
291,153,9,9
106,212,5,8
157,167,9,4
188,183,3,6
459,326,9,1
188,10,3,9
188,188,1,8
188,188,10,9
188,409,2,4
181,266,8,1
188,362,1,4
85,214,9,8
479,332,10,3
377,31,2,8
266,191,4,4
273,273,7,1
188,251,5,4
188,186,8,7
188,75,4,9
291,490,4,5
188,398,1,8
266,266,10,1
188,440,7,9
188,414,7,9
398,398,8,7
188,284,4,2
188,188,1,5
201,9,3,3
188,336,7,1
201,201,5,7
377,385,7,4
188,406,2,7
24,234,2,2
85,23,1,3
188,343,6,5
59,277,7,4
188,145,5,4
30,364,6,3
108,108,9,6
188,188,9,1
9,72,9,3
313,461,1,9
398,143,10,3
382,445,2,2
188,134,3,9
291,163,2,4
188,305,10,9
9,492,8,10
188,80,7,5
280,476,1,3
461,37,10,8
188,42,7,4
377,176,10,1
59,59,10,10
188,410,8,8
188,39,3,7
188,188,4,2
59,451,6,2
85,349,8,5
188,56,5,1
366,432,5,8
24,245,7,10
377,377,9,1
386,386,3,4
386,25,7,9
440,100,8,2
201,201,10,10
490,455,4,7
349,349,10,6
188,28,3,3
188,396,1,6
188,188,6,1
490,264,2,8
134,405,10,10
188,297,9,4
85,85,7,3
59,59,6,6
366,19,1,5
59,354,5,5
280,104,2,5
145,145,5,2
188,380,5,8
201,140,1,7
461,399,6,9
266,266,3,7
493,493,10,10
201,201,8,10
108,469,2,1
398,398,3,10
188,188,3,6
266,266,1,8
188,169,8,9
37,37,2,7
85,85,7,10
188,237,3,7
291,483,6,1
366,197,4,7
275,17,3,6
291,218,4,9
188,188,2,3
85,444,4,8
23,439,8,3
188,359,2,1
326,326,10,5
493,299,9,5
59,381,10,8
188,188,6,1
366,366,7,5
104,154,8,2
487,355,4,2
461,461,3,9
343,347,3,8
188,321,3,6
188,15,7,7
410,83,10,6
359,359,10,10
386,35,10,5
85,161,2,6
326,326,2,8
408,392,3,4
377,377,2,2
326,330,6,9
188,316,2,2
214,214,6,10
188,54,1,10
377,345,8,7
188,188,3,3
326,116,4,8
188,441,6,9
377,377,1,9
197,374,1,1
154,105,7,5
85,460,6,9
188,62,1,8
56,219,9,5
291,103,6,10
264,127,4,8
406,304,9,6
305,138,5,9
134,160,8,5
188,199,2,4
59,99,2,2
188,188,6,1
188,279,3,7
85,352,8,10
188,95,8,3
59,152,9,2
487,487,8,4
59,224,10,5
188,68,2,1
42,42,8,1
377,377,3,1
273,273,3,7
214,111,3,1
326,326,6,7
445,445,3,3
188,115,4,10
188,188,1,3
188,344,5,5
280,280,1,10
398,339,8,3
377,377,2,6
188,478,8,2
377,213,5,7
359,359,1,7
188,188,10,8
59,59,10,5
264,473,10,4
188,12,3,9
291,123,8,2
377,320,3,10
188,428,1,5
188,491,6,2
466,466,3,5
188,188,2,3
466,422,6,6
188,14,3,1
188,467,3,3
59,262,7,10
459,459,10,6
459,459,1,3
382,382,9,9
326,326,7,2
188,188,2,3
366,1,9,10
188,74,4,1
37,480,9,6
273,265,2,9
188,188,10,4
188,267,9,2
214,435,8,6
188,226,7,5
188,188,7,6
188,188,8,6
291,291,5,3
188,188,5,6
188,289,7,5
377,377,5,1
188,188,5,1
188,188,8,7
366,148,3,4
377,144,9,5
188,188,9,5
39,303,1,1
352,352,4,5
386,499,4,2
24,24,5,3
377,179,1,6
59,350,4,7
188,188,6,7
